Date,Open,High,Low,Close,Volume,Adj Close
2018-11-15,1625,1635,1575,1630,179288,1630
2018-11-13,1575,1605,1535,1585,206462,1585
2018-11-12,1640,1665,1610,1620,131627,1620
2018-11-09,1655,1685,1625,1640,107419,1640
2018-11-08,1665,1685,1645,1655,225563,1655
2018-11-07,1715,1725,1600,1635,401141,1635
2018-11-06,1650,1790,1650,1700,471124,1700
2018-11-05,1625,1660,1595,1625,180626,1625
2018-11-02,1610,1660,1610,1660,143381,1660
2018-11-01,1555,1670,1555,1595,253564,1595
2018-10-31,1480,1560,1470,1550,435085,1550
2018-10-30,1410,1525,1390,1480,499108,1480
2018-10-29,1610,1655,1480,1480,388086,1480
2018-10-26,1760,1760,1615,1630,445709,1630
2018-10-25,1810,1835,1690,1720,795374,1720
2018-10-24,1965,2020,1875,1880,527452,1880
2018-10-23,1905,2030,1905,1940,660710,1940
2018-10-22,1900,2020,1865,1910,759833,1910
2018-10-19,1980,2005,1890,1910,784994,1910
2018-10-18,1850,2165,1810,2035,4309231,2035
2018-10-17,1860,1885,1830,1850,140231,1850
2018-10-16,1755,1830,1755,1830,101177,1830
2018-10-15,1740,1785,1740,1750,126125,1750
2018-10-12,1605,1755,1605,1740,280247,1740
2018-10-11,1805,1835,1715,1715,525466,1715
2018-10-10,1940,1975,1850,1890,313109,1890
2018-10-08,1945,1990,1930,1955,90323,1955
2018-10-05,1970,2005,1910,1955,317997,1955
2018-10-04,2095,2120,2005,2005,217189,2005
2018-10-02,2100,2175,2095,2095,250308,2095
