,Adj Close,Close,High,Low,Open,Volume
2015-04-03,7189,51500,59200,59200,59200,51500
2015-04-06,11716,68000,68000,68000,68000,68000
2015-04-07,5463,78200,78200,78200,78200,78200
2015-04-08,7207,89900,89900,89900,89900,89900
2015-04-09,0,89900,89900,89900,89900,89900
2015-04-10,0,89900,89900,89900,89900,89900
2015-04-13,0,89900,89900,89900,89900,89900
2015-04-14,0,89900,89900,89900,89900,89900
2015-04-15,0,89900,89900,89900,89900,89900
2015-04-16,0,89900,89900,89900,89900,89900
2015-04-17,0,89900,89900,89900,89900,89900
2015-04-20,0,89900,89900,89900,89900,89900
2015-04-21,0,89900,89900,89900,89900,89900
2015-04-22,0,89900,89900,89900,89900,89900
2015-04-23,0,89900,89900,89900,89900,89900
2015-04-24,0,89900,89900,89900,89900,89900
2015-04-27,0,89900,89900,89900,89900,89900
2015-04-28,0,89900,89900,89900,89900,89900
2015-04-29,0,89900,89900,89900,89900,89900
2015-04-30,0,89900,89900,89900,89900,89900
2015-05-04,0,89900,89900,89900,89900,89900
2015-05-06,0,89900,89900,89900,89900,89900
2015-05-07,0,89900,89900,89900,89900,89900
2015-05-08,0,89900,89900,89900,89900,89900
2015-05-11,0,89900,89900,89900,89900,89900
2015-05-12,0,89900,89900,89900,89900,89900
2015-05-13,0,89900,89900,89900,89900,89900
2015-05-14,0,89900,89900,89900,89900,89900
2015-05-15,0,89900,89900,89900,89900,89900
2015-05-18,0,89900,89900,89900,89900,89900
2015-05-19,0,89900,89900,89900,89900,89900
2015-05-20,0,89900,89900,89900,89900,89900
2015-05-21,0,89900,89900,89900,89900,89900
2015-05-22,0,89900,89900,89900,89900,89900
2015-05-26,0,89900,89900,89900,89900,89900
2015-05-27,0,89900,89900,89900,89900,89900
2015-05-28,0,89900,89900,89900,89900,89900
2015-05-29,0,89900,89900,89900,89900,89900
2015-06-01,0,89900,89900,89900,89900,89900
2015-06-02,0,89900,89900,89900,89900,89900
2015-06-03,0,89900,89900,89900,89900,89900
2015-06-04,0,89900,89900,89900,89900,89900
2015-06-05,0,89900,89900,89900,89900,89900
2015-06-08,0,89900,89900,89900,89900,89900
2015-06-09,0,89900,89900,89900,89900,89900
2015-06-10,0,89900,89900,89900,89900,89900
2015-06-11,0,89900,89900,89900,89900,89900
2015-06-12,0,89900,89900,89900,89900,89900
2015-06-15,0,89900,89900,89900,89900,89900
2015-06-16,0,89900,89900,89900,89900,89900
2015-06-17,0,89900,89900,89900,89900,89900
2015-06-18,0,89900,89900,89900,89900,89900
2015-06-19,0,89900,89900,89900,89900,89900
2015-06-22,0,89900,89900,89900,89900,89900
2015-06-23,0,89900,89900,89900,89900,89900
2015-06-24,0,89900,89900,89900,89900,89900
2015-06-25,0,89900,89900,89900,89900,89900
2015-06-26,0,89900,89900,89900,89900,89900
2015-06-29,0,89900,89900,89900,89900,89900
2015-06-30,0,89900,89900,89900,89900,89900
2015-07-01,0,89900,89900,89900,89900,89900
2015-07-02,0,89900,89900,89900,89900,89900
2015-07-03,0,89900,89900,89900,89900,89900
2015-07-06,0,89900,89900,89900,89900,89900
2015-07-07,0,89900,89900,89900,89900,89900
2015-07-08,0,89900,89900,89900,89900,89900
2015-07-09,0,89900,89900,89900,89900,89900
2015-07-10,0,89900,89900,89900,89900,89900
2015-07-13,0,89900,89900,89900,89900,89900
2015-07-14,0,89900,89900,89900,89900,89900
2015-07-15,0,89900,89900,89900,89900,89900
2015-07-16,0,89900,89900,89900,89900,89900
2015-07-17,0,89900,89900,89900,89900,89900
2015-07-20,0,89900,89900,89900,89900,89900
2015-07-21,0,89900,89900,89900,89900,89900
2015-07-22,0,89900,89900,89900,89900,89900
2015-07-23,0,89900,89900,89900,89900,89900
2015-07-24,0,89900,89900,89900,89900,89900
2015-07-27,0,89900,89900,89900,89900,89900
2015-07-28,0,89900,89900,89900,89900,89900
2015-07-29,0,89900,89900,89900,89900,89900
2015-07-30,0,89900,89900,89900,89900,89900
2015-07-31,0,89900,89900,89900,89900,89900
2015-08-03,0,89900,89900,89900,89900,89900
2015-08-04,0,89900,89900,89900,89900,89900
2015-08-05,0,89900,89900,89900,89900,89900
2015-08-06,0,89900,89900,89900,89900,89900
2015-08-07,0,89900,89900,89900,89900,89900
2015-08-10,0,89900,89900,89900,89900,89900
2015-08-11,0,89900,89900,89900,89900,89900
2015-08-12,0,89900,89900,89900,89900,89900
2015-08-13,0,89900,89900,89900,89900,89900
2015-08-14,0,89900,89900,89900,89900,89900
2015-08-17,0,89900,89900,89900,89900,89900
2015-08-18,0,89900,89900,89900,89900,89900
2015-08-19,0,89900,89900,89900,89900,89900
2015-08-20,0,89900,89900,89900,89900,89900
2015-08-21,0,89900,89900,89900,89900,89900
2015-08-24,0,89900,89900,89900,89900,89900
2015-08-25,0,89900,89900,89900,89900,89900
2015-08-26,0,89900,89900,89900,89900,89900
2015-08-27,0,89900,89900,89900,89900,89900
2015-08-28,0,89900,89900,89900,89900,89900
2015-08-31,0,89900,89900,89900,89900,89900
2015-09-01,0,89900,89900,89900,89900,89900
2015-09-02,0,89900,89900,89900,89900,89900
2015-09-03,0,89900,89900,89900,89900,89900
2015-09-04,0,89900,89900,89900,89900,89900
2015-09-07,0,89900,89900,89900,89900,89900
2015-09-08,0,89900,89900,89900,89900,89900
2015-09-09,0,89900,89900,89900,89900,89900
2015-09-10,0,89900,89900,89900,89900,89900
2015-09-11,0,89900,89900,89900,89900,89900
2015-09-14,0,89900,89900,89900,89900,89900
2015-09-15,0,89900,89900,89900,89900,89900
2015-09-16,0,89900,89900,89900,89900,89900
2015-09-17,0,89900,89900,89900,89900,89900
2015-09-18,0,89900,89900,89900,89900,89900
2015-09-21,0,89900,89900,89900,89900,89900
2015-09-22,0,89900,89900,89900,89900,89900
2015-09-23,0,89900,89900,89900,89900,89900
2015-09-24,0,89900,89900,89900,89900,89900
2015-09-25,0,89900,89900,89900,89900,89900
2015-09-30,0,89900,89900,89900,89900,89900
2015-10-01,0,89900,89900,89900,89900,89900
2015-10-02,0,89900,89900,89900,89900,89900
2015-10-05,0,89900,89900,89900,89900,89900
2015-10-06,0,89900,89900,89900,89900,89900
2015-10-07,0,89900,89900,89900,89900,89900
2015-10-08,0,89900,89900,89900,89900,89900
2015-10-12,0,89900,89900,89900,89900,89900
2015-10-13,0,89900,89900,89900,89900,89900
2015-10-14,0,89900,89900,89900,89900,89900
2015-10-15,0,89900,89900,89900,89900,89900
2015-10-16,0,89900,89900,89900,89900,89900
2015-10-19,0,89900,89900,89900,89900,89900
2015-10-20,0,89900,89900,89900,89900,89900
2015-10-21,0,89900,89900,89900,89900,89900
2015-10-22,0,89900,89900,89900,89900,89900
2015-10-23,0,89900,89900,89900,89900,89900
2015-10-26,0,89900,89900,89900,89900,89900
2015-10-27,0,89900,89900,89900,89900,89900
2015-10-28,0,89900,89900,89900,89900,89900
2015-10-29,0,89900,89900,89900,89900,89900
2015-10-30,0,89900,89900,89900,89900,89900
2015-11-02,0,89900,89900,89900,89900,89900
2015-11-03,0,89900,89900,89900,89900,89900
2015-11-04,0,89900,89900,89900,89900,89900
2015-11-05,0,89900,89900,89900,89900,89900
2015-11-06,0,89900,89900,89900,89900,89900
2015-11-16,0,89900,89900,89900,89900,89900
2016-07-11,0,89900,89900,89900,89900,89900
2017-07-03,0,89900,89900,89900,89900,89900
2017-07-04,0,89900,89900,89900,89900,89900
2017-07-05,0,89900,89900,89900,89900,89900
2017-07-06,0,89900,89900,89900,89900,89900
2017-07-07,0,89900,89900,89900,89900,89900
2017-07-10,0,89900,89900,89900,89900,89900
2017-07-11,0,89900,89900,89900,89900,89900
2017-07-12,0,89900,89900,89900,89900,89900
2017-07-13,0,89900,89900,89900,89900,89900
2017-07-14,0,89900,89900,89900,89900,89900
2017-07-17,0,89900,89900,89900,89900,89900
2017-07-18,0,89900,89900,89900,89900,89900
2017-07-19,0,89900,89900,89900,89900,89900
2017-07-20,0,89900,89900,89900,89900,89900
2017-07-21,0,89900,89900,89900,89900,89900
2017-07-24,0,89900,89900,89900,89900,89900
2017-07-25,0,89900,89900,89900,89900,89900
2017-07-26,0,89900,89900,89900,89900,89900
2017-07-27,0,89900,89900,89900,89900,89900
2017-07-28,0,89900,89900,89900,89900,89900
2017-07-31,0,89900,89900,89900,89900,89900
2017-08-01,0,89900,89900,89900,89900,89900
2017-08-02,0,89900,89900,89900,89900,89900
2017-08-03,0,89900,89900,89900,89900,89900
2017-08-04,0,89900,89900,89900,89900,89900
2017-08-07,0,89900,89900,89900,89900,89900
2017-08-08,0,0,0,0,0,0
2017-08-09,0,0,0,0,0,0
2017-08-10,0,0,0,0,0,0
2017-08-11,0,0,0,0,0,0
2017-08-14,0,0,0,0,0,0
2017-08-16,0,89900,89900,89900,89900,89900
2017-08-17,0,0,0,0,0,0
2017-08-18,0,0,0,0,0,0
2017-08-21,0,0,0,0,0,0
2017-08-22,0,0,0,0,0,0
2017-08-23,0,0,0,0,0,0
2017-08-24,0,0,0,0,0,0
2017-08-25,0,0,0,0,0,0
2017-08-28,0,0,0,0,0,0
2017-08-29,0,0,0,0,0,0
2017-08-30,0,0,0,0,0,0
2017-08-31,0,0,0,0,0,0
2017-09-01,0,0,0,0,0,0
2017-09-04,0,0,0,0,0,0
2017-09-05,0,0,0,0,0,0
2017-09-06,0,0,0,0,0,0
2017-09-07,0,0,0,0,0,0
2017-09-08,0,0,0,0,0,0
2017-09-11,0,0,0,0,0,0
