Date,Open,High,Low,Close,Volume,Adj_Close
2018-01-09,0,0,0,0,0,0
2018-01-10,116000,121000,112000,114000,357741,113353
2018-01-11,114500,118000,112000,114000,194223,113353
2018-01-12,114000,120500,109000,118500,363991,117827
2018-01-15,119500,128500,119000,122000,466797,121307
2018-01-16,122000,122000,118000,120000,183784,119319
2018-01-17,120500,120500,112000,112500,226037,111861
2018-01-18,114500,115000,110500,111500,145401,110867
2018-01-19,111500,115000,111000,111000,109899,110370
2018-01-22,110500,111000,107500,109500,111714,108878
2018-01-23,110500,113500,109000,111000,99852,110370
2018-01-24,111500,116000,111500,115000,135157,114347
2018-01-25,116000,116000,113500,115000,80543,114347
2018-01-26,115000,116000,111500,112500,113248,111861
2018-01-29,113000,113000,111000,112000,102780,111364
2018-01-30,112000,117000,112000,115500,199075,114844
2018-01-31,114500,117000,113000,115000,144616,114347
2018-02-01,115500,116500,112000,112000,103975,111364
2018-02-02,112500,113500,108000,109000,124931,108381
2018-02-05,106000,107500,101500,102500,135075,101918
2018-02-06,98200,103500,95900,101500,189357,100924
2018-02-07,104000,104000,99100,99200,127611,98637
2018-02-08,99000,101500,98200,100000,116615,99432
2018-02-09,97400,102000,96500,100500,110042,99929
2018-02-12,98800,103000,98700,103000,173351,102415
2018-02-13,115000,116500,105500,107000,593574,106392
2018-02-14,107500,109500,103000,105000,154019,104404
2018-02-19,109000,111000,108000,109500,118500,109500
2018-02-20,109000,113000,108500,109500,108680,109500
2018-02-21,110500,114000,109000,113000,121214,113000
2018-02-22,112500,113000,110500,111000,71123,111000
2018-02-23,112000,113500,111500,113500,97859,113500
2018-02-26,113500,114000,109000,110000,152544,110000
2018-02-27,110500,111500,107500,109000,90543,109000
2018-02-28,108000,110000,107500,109000,72980,109000
2018-03-02,107000,108000,105500,106500,83506,106500
2018-03-05,106000,107000,104000,104500,78837,104500
2018-03-06,106000,107000,104500,105000,77860,105000
2018-03-07,105000,107500,104500,106000,64705,106000
2018-03-08,107000,109500,106000,109000,76117,109000
2018-03-09,109000,110000,108000,109000,64150,109000
2018-03-12,110000,110000,108500,109500,72719,109500
2018-03-13,109500,110500,107500,110500,76070,110500
2018-03-14,109500,113000,109000,113000,98613,113000
2018-03-15,113500,113500,110500,112000,67977,112000
2018-03-16,112000,113000,110500,110500,49876,110500
2018-03-19,111500,112000,110000,110500,49270,110500
2018-03-20,109500,110000,106500,108000,60742,108000
2018-03-21,109000,110000,108000,109000,35565,109000
2018-03-22,109500,112500,108000,110500,93634,110500
2018-03-23,107000,109000,105000,105000,89177,105000
2018-03-26,105000,106000,102000,105000,60400,105000
2018-03-27,105500,106500,104500,104500,81406,104500
2018-03-28,103500,105000,100000,102000,89430,102000
2018-03-29,102000,104500,101500,104000,44056,104000
2018-03-30,105000,106000,103000,105000,50924,105000
2018-04-02,104500,106000,102500,103500,76457,103500
2018-04-03,101500,105500,101000,104000,54521,104000
2018-04-04,104000,104500,102000,103000,78363,103000
2018-04-05,103000,103500,101000,101500,82746,101500
2018-04-06,101000,102000,100000,101500,80591,101500
2018-04-09,101500,106000,101000,105000,83602,105000
2018-04-10,104500,105000,103000,104500,49140,104500
2018-04-11,104000,108000,104000,107000,78226,107000
2018-04-12,107500,108000,105500,106500,54421,106500
2018-04-13,106500,108500,105000,106500,71812,106500
2018-04-16,107500,108000,106000,107000,41916,107000
2018-04-17,106500,107500,103500,106000,65185,106000
2018-04-18,105500,106500,102000,103500,91136,103500
2018-04-19,102500,105000,102000,102500,66462,102500
2018-04-20,102500,105000,102000,103000,75442,103000
2018-04-23,103000,106000,102500,106000,56555,106000
2018-04-24,106500,107000,104500,105000,40750,105000
2018-04-25,104500,105500,104000,105000,41404,105000
2018-04-26,105000,106000,104000,105000,45262,105000
2018-04-27,105000,105500,102500,102500,48015,102500
2018-04-30,103000,103500,100500,101500,86514,101500
2018-05-02,100500,102500,99900,100500,100477,100500
2018-05-03,103000,103500,101500,102500,64667,102500
2018-05-04,102000,102000,100000,100500,64546,100500
2018-05-08,100500,101500,98700,98700,91451,98700
2018-05-09,98700,100000,98300,98400,56194,98400
2018-05-10,98500,98700,97200,97700,69960,97700
2018-05-11,97900,99400,97500,98100,56197,98100
2018-05-14,99000,99200,98000,98000,35015,98000
2018-05-15,98200,98500,95600,96700,74353,96700
2018-05-16,96600,97600,95300,96600,52982,96600
2018-05-17,96700,96800,94300,94500,71786,94500
2018-05-18,95000,95800,92000,93800,112617,93800
2018-05-21,94200,94500,91500,91900,122133,91900
2018-05-23,91500,93700,90000,90200,127614,90200
2018-05-24,90500,90900,87700,87900,131400,87900
2018-05-25,87300,88200,84200,84500,175719,84500
2018-05-28,84500,86000,81300,85100,199932,85100
2018-05-29,85100,89600,84600,88600,155374,88600
2018-05-30,87900,89000,86400,87300,73102,87300
2018-05-31,87300,88900,86900,88900,68285,88900
2018-06-01,89000,89000,87200,88100,36261,88100
2018-06-04,87500,87900,85000,85700,72526,85700
