,Open,High,Low,Close,Volume,Adj Close
2018-07-16,55300,58400,52500,55500,745751,55500
2018-07-17,54000,65300,53100,60900,803024,60900
2018-07-18,60600,66200,60500,61600,662837,61600
2018-07-19,62400,63100,58500,61700,329582,61700
2018-07-20,60600,61600,57000,59900,260702,59900
2018-07-23,60400,60400,54600,55300,195014,55300
2018-07-24,55000,60300,55000,57700,193416,57700
2018-07-25,58200,58900,55700,56100,138363,56100
2018-07-26,56500,57100,55800,56100,91464,56100
2018-07-27,56300,59400,55400,57300,92347,57300
2018-07-30,58200,58600,57000,58000,108242,58000
2018-07-31,54000,55000,52100,52900,373912,52900
2018-08-01,53400,53400,50800,50800,192356,50800
2018-08-02,51000,52100,50300,50400,82121,50400
2018-08-03,50500,52100,50200,51600,64625,51600
2018-08-06,52000,52400,51300,51900,37525,51900
2018-08-07,51600,51900,50500,51000,64058,51000
2018-08-08,50800,51900,50800,51400,44236,51400
2018-08-09,51400,52000,49850,51300,97178,51300
2018-08-10,51500,51800,49350,49350,85719,49350
2018-08-13,48600,49200,47150,47600,66200,47600
2018-08-14,47500,48100,46950,47100,51834,47100
2018-08-16,47100,47200,45100,45200,73381,45200
2018-08-17,45400,45700,43850,44250,136075,44250
2018-08-20,44350,45300,44000,44550,45372,44550
2018-08-21,44300,48600,44200,48150,160497,48150
2018-08-22,48100,48450,46800,47050,76288,47050
2018-08-23,47300,47600,45000,45200,81328,45200
2018-08-24,44950,48550,44950,47900,81373,47900
2018-08-27,48250,48250,46850,47800,35040,47800
2018-08-28,47350,49300,47250,49150,87336,49150
2018-08-29,48500,51700,48500,51000,71813,51000
2018-08-30,51500,58200,51000,57600,493831,57600
2018-08-31,57200,59200,55500,59200,130474,59200
2018-09-03,59000,59800,56400,57700,72006,57700
2018-09-04,57700,58200,55300,56000,103737,56000
2018-09-05,56000,58700,55900,56200,97433,56200
2018-09-06,58300,60500,56700,59600,160864,59600
2018-09-07,59800,59900,57800,58800,52949,58800
2018-09-10,58600,59400,56200,58200,50951,58200
2018-09-11,57600,63600,57600,61100,169232,61100
2018-09-12,61200,62900,59500,60200,95829,60200
2018-09-13,60200,62400,59400,61000,92897,61000
2018-09-14,61200,63000,60600,62300,61560,62300
2018-09-17,62500,64200,61500,63100,76117,63100
2018-09-18,63100,64500,61100,63500,88670,63500
2018-09-19,63100,64800,60400,60900,107512,60900
2018-09-20,61000,61000,57700,59200,136265,59200
2018-09-21,59600,62500,58200,61200,80247,61200
2018-09-27,61200,61800,58400,59000,64014,59000
2018-09-28,59000,61100,58100,59400,67146,59400
2018-10-01,58900,59400,56200,56900,73803,56900
2018-10-02,56900,57400,55200,55200,69475,55200
2018-10-04,55200,57200,51100,52400,77568,52400
2018-10-05,52400,54000,51200,52800,56399,52800
2018-10-08,52800,52900,51300,51800,24065,51800
2018-10-10,51300,52100,49800,49950,47796,49950
2018-10-11,48000,50700,47500,47500,52692,47500
