,Open,High,Low,Close,Volume,Adj Close
2018-07-16,163500,180000,162000,174000,667957,174000
2018-07-17,167500,177000,165000,174000,291798,174000
2018-07-18,171000,177500,160500,162500,172571,162500
2018-07-19,165500,176000,163500,169500,192445,169500
2018-07-20,167000,168000,159000,163000,131393,163000
2018-07-23,164000,166000,153000,154500,79709,154500
2018-07-24,153000,156000,150500,154500,65673,154500
2018-07-25,156000,158000,148000,151500,63498,151500
2018-07-26,151500,156000,148000,156000,37620,156000
2018-07-27,156000,163000,154000,160000,57547,160000
2018-07-30,163000,167000,160500,166500,45047,166500
2018-07-31,166500,170000,162000,170000,47931,170000
2018-08-01,170000,170500,165000,168000,29004,168000
2018-08-02,167500,168000,159000,159500,44807,159500
2018-08-03,161000,162500,156000,160000,29571,160000
2018-08-06,159500,163500,158000,160000,20620,160000
2018-08-07,160000,161000,157000,160500,23485,160500
2018-08-08,161000,162500,159000,162000,27426,162000
2018-08-09,162000,163500,160000,160000,31185,160000
2018-08-10,161000,161500,157500,160000,16412,160000
2018-08-13,158500,158500,152000,156000,32502,156000
2018-08-14,156000,158000,154500,157000,32384,157000
2018-08-16,153500,155500,151500,154000,31271,154000
2018-08-17,154500,156000,152500,156000,31044,156000
2018-08-20,155000,159500,154500,157500,28102,157500
2018-08-21,158500,163500,158000,163500,28959,163500
2018-08-22,162000,163000,154000,157000,48208,157000
2018-08-23,157000,157000,149500,152000,42651,152000
2018-08-24,151500,156500,151000,153000,21836,153000
2018-08-27,154000,154000,147000,149500,42669,149500
2018-08-28,149500,153500,148000,152500,33433,152500
2018-08-29,152500,158000,151500,156000,37147,156000
2018-08-30,157000,161500,156500,160000,50073,160000
2018-08-31,160000,160000,157000,160000,17009,160000
2018-09-03,160500,160500,154000,155000,26951,155000
2018-09-04,155000,157000,154000,154500,10184,154500
2018-09-05,153000,154000,149500,149500,29218,149500
2018-09-06,150000,152000,148000,151000,26607,151000
2018-09-07,151500,151500,148500,151500,18078,151500
2018-09-10,150000,151500,147500,149000,16942,149000
2018-09-11,148000,148500,144500,146000,25694,146000
2018-09-12,146000,150000,145500,148500,25366,148500
2018-09-13,149000,149000,144500,146000,19917,146000
2018-09-14,145500,149500,145500,149500,25016,149500
2018-09-17,153000,153000,147500,151500,18903,151500
2018-09-18,151500,151500,147500,149000,12761,149000
2018-09-19,148000,150500,147000,149500,17799,149500
2018-09-20,148500,148500,143500,143500,26386,143500
2018-09-21,145000,146000,142000,142500,33246,142500
2018-09-27,142500,143500,140500,143500,23676,143500
2018-09-28,143500,143500,140500,141500,26581,141500
2018-10-01,141000,142000,137000,141500,29584,141500
2018-10-02,139000,140500,136000,137000,19850,137000
2018-10-04,136000,137000,128500,133000,40319,133000
2018-10-05,131000,133500,128000,132500,22780,132500
2018-10-08,133000,135000,129000,130500,16033,130500
2018-10-10,129000,130500,121500,125000,25391,125000
2018-10-11,118000,122500,117500,118500,58573,118500
2018-10-12,116500,120500,116000,119000,26279,119000
2018-10-15,118500,119500,113000,114500,29603,114500
2018-10-16,113500,116000,110500,111500,38455,111500
2018-10-17,113000,114500,110500,112500,35993,112500
2018-10-18,112500,117000,111000,114500,24092,114500
2018-10-19,113000,114500,111000,114000,15920,114000
2018-10-22,114000,117500,111500,117500,18974,117500
2018-10-23,116000,117500,111500,115000,27885,115000
2018-10-24,114500,115000,107000,108500,40098,108500
2018-10-25,105000,106000,100000,103000,41314,103000
2018-10-26,103500,105000,96200,102500,41168,102500
2018-10-29,101000,103500,97500,99300,38477,99300
2018-10-30,97200,102000,97000,99600,29117,99600
2018-10-31,100500,104500,99200,104500,33263,104500
2018-11-01,101500,104500,100000,100500,32957,100500
2018-11-02,101500,104000,101500,104000,21760,104000
2018-11-05,103000,106000,102000,103500,9240,103500
2018-11-06,103500,105500,100000,102000,15658,102000
2018-11-07,102000,103000,99300,100000,12688,100000
2018-11-08,101000,102000,99300,99300,18218,99300
2018-11-09,100000,100500,99000,100000,11584,100000
2018-11-12,99900,100500,99000,100500,12535,100500
2018-11-13,99500,101000,98100,100500,17593,100500
2018-11-14,100500,102500,100000,101000,9353,101000
2018-11-15,100000,102000,99100,101000,13965,101000
2018-11-16,101000,103000,100500,103000,6254,103000
2018-11-19,103000,104500,101000,104500,16588,104500
2018-11-20,103000,105000,102500,104500,9667,104500
2018-11-21,103000,110000,102500,108000,22384,108000
2018-11-22,107500,108000,105500,105500,6909,105500
2018-11-23,105500,106500,103000,103500,11761,103500
2018-11-26,103000,108000,103000,108000,9782,108000
