Date,Open,High,Low,Close,Volume,Adj_Close
2018-03-15,20950,21600,20350,21400,524595,21400
2018-03-16,21650,22000,21000,21450,489577,21450
2018-03-19,21450,22200,21350,21950,506806,21950
2018-03-20,21650,23300,21600,23200,964751,23200
2018-03-21,24350,24550,22300,22300,837187,22300
2018-03-22,22400,23500,22000,22450,610963,22450
2018-03-23,21450,21750,20500,20650,381319,20650
2018-03-26,20450,21000,20050,20750,243159,20750
2018-03-27,21000,21550,20950,21150,196267,21150
2018-03-28,21200,23200,21100,22150,674838,22150
2018-03-29,22200,23800,21750,22200,710747,22200
2018-03-30,22800,23400,22200,22250,359635,22250
2018-04-02,22250,22700,21200,21800,493094,21800
2018-04-03,21300,21800,21200,21600,155486,21600
2018-04-04,21300,22250,21200,21400,167579,21400
2018-04-05,21600,22000,21200,21250,218761,21250
2018-04-06,21150,21450,20650,20700,184452,20700
2018-04-09,20450,21300,20400,21150,209046,21150
2018-04-10,21150,21300,20400,20900,158251,20900
2018-04-11,22000,23750,21950,22000,1609785,22000
2018-04-12,22250,22750,21200,21400,395088,21400
2018-04-13,21600,22400,21200,21900,260001,21900
2018-04-16,21850,22750,21650,22600,379637,22600
2018-04-17,22700,22800,22150,22600,236422,22600
2018-04-18,22800,22850,21700,21700,207593,21700
2018-04-19,21750,21750,20500,20600,282288,20600
2018-04-20,20850,21100,20550,20900,117034,20900
2018-04-23,20800,20900,20000,20000,170686,20000
2018-04-24,19850,20250,19050,19100,273930,19100
2018-04-25,19050,19300,18550,18750,126092,18750
2018-04-26,18950,19450,18950,19100,73331,19100
2018-04-27,19400,19550,18900,19000,49282,19000
2018-04-30,18900,18900,17400,17650,202867,17650
2018-05-02,17150,18150,16550,18000,191759,18000
2018-05-03,17800,18200,17700,18000,58119,18000
2018-05-04,18000,18150,17000,17000,106681,17000
2018-05-08,17200,17400,15950,15950,142558,15950
2018-05-09,16050,16500,15500,16500,107316,16500
2018-05-10,16600,16600,16000,16550,64430,16550
2018-05-11,16600,17100,16450,17100,78814,17100
2018-05-14,17400,17400,16700,17000,57502,17000
2018-05-15,17050,17200,16300,16500,67679,16500
2018-05-16,17250,21000,17200,18000,1539353,18000
2018-05-17,18100,18450,17300,17300,247226,17300
2018-05-18,17700,19950,17700,18750,590526,18750
2018-05-21,18550,19100,18500,18800,134485,18800
2018-05-23,19100,19150,18300,18400,102327,18400
2018-05-24,18150,18550,17950,18100,82581,18100
2018-05-25,17750,18400,17550,18150,79991,18150
2018-05-28,17500,17850,17250,17700,124019,17700
2018-05-29,17800,18200,17600,17600,72159,17600
2018-05-30,17750,17800,16850,17000,75392,17000
2018-05-31,17000,17350,16800,16900,32738,16900
2018-06-01,16750,17650,16750,17450,56355,17450
2018-06-04,17450,17550,16900,17050,35000,17050
2018-06-05,17150,19350,17100,18050,288193,18050
2018-06-07,19250,19550,18050,18050,163561,18050
2018-06-08,18100,18250,17700,17750,54846,17750
2018-06-11,17750,18100,17350,17600,36078,17600
2018-06-12,17500,17550,17000,17050,54015,17050
2018-06-14,17100,17450,17050,17050,42899,17050
2018-06-15,17100,17350,16800,16900,45934,16900
2018-06-18,17100,17250,15600,16100,79513,16100
2018-06-19,16200,16200,14600,14800,159251,14800
2018-06-20,14650,15200,14500,15150,70775,15150
2018-06-21,15150,15250,14300,14450,67082,14450
2018-06-22,14500,14700,13950,14400,52462,14400
2018-06-25,14550,14950,14400,14850,47186,14850
2018-06-26,14450,14850,14100,14750,34238,14750
2018-06-27,14750,15250,14400,15200,67092,15200
2018-06-28,15100,15500,14500,14650,53108,14650
2018-06-29,14650,14900,14000,14250,43690,14250
2018-07-02,14250,14400,13400,13700,42660,13700
2018-07-03,13400,13800,13150,13350,77152,13350
2018-07-04,13350,13850,13350,13700,38308,13700
2018-07-05,13900,14200,13500,13700,50713,13700
2018-07-06,13750,13950,13200,13650,50631,13650
2018-07-09,13550,14200,13500,13950,45937,13950
2018-07-10,13950,14600,13950,14550,50004,14550
2018-07-11,14900,15000,14400,14450,50480,14450
2018-07-12,14600,14650,14350,14400,23889,14400
2018-07-13,14350,14550,14200,14500,24832,14500
2018-07-16,14600,14850,14350,14400,21087,14400
2018-07-17,14500,14650,14150,14150,25682,14150
2018-07-18,14200,14550,13650,13650,32365,13650
2018-07-19,13650,13800,13200,13800,31145,13800
2018-07-20,13650,13750,13100,13350,35829,13350
2018-07-23,13200,13400,12000,12000,97995,12000
2018-07-24,11950,12450,11900,12050,39147,12050
2018-07-26,11900,12500,11750,12100,31989,12100
2018-07-27,12100,12400,12000,12100,28084,12100
2018-07-30,12050,12550,12050,12450,22166,12450
2018-07-31,12400,12600,12300,12600,20220,12600
2018-08-01,12600,12950,12500,12900,24253,12900
2018-08-02,13000,13000,12400,12600,12423,12600
2018-08-03,12750,12800,12400,12500,15591,12500
2018-08-06,12400,12850,12300,12650,15884,12650
2018-08-07,12850,13100,12650,13000,30725,13000
2018-08-08,13050,13400,12900,13150,33660,13150
2018-08-09,13100,13250,12850,13000,21385,13000
2018-08-10,12900,13700,12850,13550,57805,13550
2018-08-13,13300,13450,12550,12800,48932,12800
2018-08-14,12750,12900,12200,12800,61815,12800
2018-08-16,12650,12650,12200,12350,32369,12350
2018-08-17,12350,12900,12300,12600,42659,12600
2018-08-20,12800,13300,12750,12850,60378,12850
2018-08-21,13050,13550,13000,13450,70433,13450
2018-08-22,13550,13700,13250,13400,39979,13400
2018-08-23,13450,13600,13050,13400,43420,13400
2018-08-24,13500,17150,13300,14950,2369548,14950
2018-08-27,15000,17750,14750,17050,2871588,17050
2018-08-28,17050,17450,16550,17200,627406,17200
2018-08-29,17400,20200,16950,17550,4475462,17550
2018-08-30,17800,17950,16900,17450,588452,17450
2018-08-31,17450,19100,17450,17750,2413452,17750
2018-09-03,17800,18000,17300,17950,341338,17950
2018-09-04,18100,19150,18000,18200,928900,18200
2018-09-05,18100,18500,17650,18350,317891,18350
2018-09-06,18700,19450,18350,18350,789902,18350
2018-09-07,17950,18300,17300,17350,284419,17350
2018-09-10,17600,17650,17100,17250,165175,17250
2018-09-11,17100,17850,16900,17600,269109,17600
2018-09-12,17650,17950,17150,17400,241823,17400
2018-09-13,17400,18250,17300,17700,465690,17700
2018-09-14,17950,18100,17200,17750,226115,17750
2018-09-17,17750,18450,17600,18200,349989,18200
2018-09-18,18100,18850,17900,18850,523056,18850
2018-09-19,19150,20200,17650,17650,1140556,17650
2018-09-20,17650,18800,17650,18000,431298,18000
2018-09-21,18000,18700,17650,17900,178428,17900
2018-09-27,17950,18400,17800,18200,141369,18200
2018-09-28,18000,18800,17800,18650,296245,18650
2018-10-01,18600,18800,16900,17000,294337,17000
2018-10-02,16850,17150,15600,15800,270802,15800
