Date,Open,High,Low,Close,Volume,Adj_Close
2016-02-04,39100,42000,35900,37750,2612375,37196
2016-02-05,36550,37450,35400,36550,465928,36014
2016-02-11,36550,37300,33800,36800,199653,36260
2016-02-12,36550,37700,34800,37300,165476,36753
2016-02-15,38200,38600,35900,35900,62750,35373
2016-02-16,35900,38000,35550,37000,118808,36457
2016-02-17,37500,41700,37250,39050,248271,38477
2016-02-18,39950,40450,37550,38000,87713,37442
2016-02-19,36900,37350,35500,36400,138887,35866
2016-02-22,36000,36400,34100,34100,69668,33600
2016-02-23,34750,34750,32400,34300,124845,33797
2016-02-24,33850,35100,33300,34850,77360,34339
2016-02-25,34500,36550,34500,35100,80900,34585
2016-02-26,35500,35500,33800,34150,23787,33649
2016-02-29,34600,35450,32100,35100,83215,34585
2016-03-02,35100,35200,33700,34400,40906,33895
2016-03-03,33850,34000,32000,32000,96669,31530
2016-03-04,29900,30700,29600,30600,304640,30151
2016-03-07,30300,30700,28800,28900,127456,28476
2016-03-08,28800,30350,28600,29050,104929,28624
2016-03-09,29300,30050,28700,30000,114687,29560
2016-03-10,30250,30250,29250,29500,59755,29067
2016-03-11,29300,29450,28750,29300,49900,28870
2016-03-14,29200,29200,27850,28650,107471,28229
2016-03-15,28250,28550,27250,27300,77601,26899
2016-03-16,27300,30000,27000,29500,161033,29067
2016-03-17,29450,29850,28700,29500,66773,29067
2016-03-18,29350,29400,27150,27250,153764,26850
2016-03-21,27350,27350,25550,26700,198085,26308
2016-03-22,26500,27000,26050,26650,70638,26259
2016-03-23,26350,27100,26100,26600,80663,26209
2016-03-24,26950,28850,26800,27950,165918,27540
2016-03-25,27950,28450,26800,28050,88563,27638
2016-03-28,27600,27600,23350,23500,419453,23155
2016-03-29,23900,24300,23350,24000,110969,23648
2016-03-30,24300,24300,23600,24000,96181,23648
2016-03-31,24100,24150,23350,23900,52002,23549
2016-04-01,23800,24150,23350,23650,50331,23303
2016-04-04,23450,23850,23200,23250,35801,22909
2016-04-05,23300,23600,23000,23250,47383,22909
2016-04-06,23150,24250,23100,24200,58368,23845
2016-04-07,24000,24650,23750,24100,51820,23746
2016-04-08,24100,24350,23500,24250,35552,23894
2016-04-11,24500,25300,24350,24350,51987,23992
2016-04-12,23800,24850,23700,24700,41253,24337
2016-04-14,24700,25400,23300,24400,36120,24042
2016-04-15,24450,24650,23750,23900,26020,23549
2016-04-18,24200,24200,23400,24150,33742,23795
2016-04-19,24300,24650,23800,24600,42213,24239
2016-04-20,24900,25800,24700,25500,89680,25126
2016-04-21,25700,25700,25000,25400,22242,25027
2016-04-22,25400,25500,24600,24600,26962,24239
2016-04-25,24500,24600,24150,24600,14160,24239
2016-04-26,24850,25800,24250,25050,24026,24682
2016-04-27,25200,25500,24500,25300,30346,24929
2016-04-28,25150,25400,24000,25150,30863,24781
2016-04-29,25050,25050,24550,24900,17710,24534
2016-05-02,24650,24850,24300,24300,12042,23943
2016-05-03,24400,24500,23950,24200,12190,23845
2016-05-04,23700,23700,21300,22900,494134,22564
2016-05-09,22900,23200,21300,22350,120435,22022
2016-05-10,22500,22500,21900,22150,54152,21825
2016-05-11,22150,22150,21100,21100,90120,20790
2016-05-12,21200,21700,21050,21200,56862,20889
2016-05-13,21250,21400,20350,20450,77794,20150
2016-05-16,20500,20950,20450,20600,25279,20297
2016-05-17,20750,21550,20700,21300,54532,20987
2016-05-18,20900,21250,20100,20400,82056,20100
2016-05-19,20400,21300,19600,19850,55438,19558
2016-05-20,19300,20650,19300,20550,45678,20248
2016-05-23,20300,20700,20200,20400,14555,20100
2016-05-24,20500,20950,20150,20350,30755,20051
2016-05-25,20400,20550,20050,20050,24262,19756
2016-05-26,20000,21200,19550,21000,59215,20692
2016-05-27,21000,22700,20900,22050,153271,21726
2016-05-30,22650,22650,21750,22000,50754,21677
2016-05-31,22000,22650,21600,22150,45369,21825
2016-06-01,22650,23450,22100,23150,78540,22810
2016-06-02,23200,24000,22850,23750,84494,23401
2016-06-03,23850,24000,23350,23950,50461,23598
2016-06-07,23950,24350,23500,24250,48250,23894
2016-06-08,24250,24550,23500,24300,57263,23943
2016-06-09,24250,24250,22900,23800,89709,23451
2016-06-10,23800,23950,23100,23200,30506,22859
2016-06-13,22900,23500,22200,23200,32504,22859
2016-06-14,23150,23200,22250,22900,34771,22564
2016-06-15,22500,23150,22000,22100,21818,21775
2016-06-16,21500,22700,21250,22600,34407,22268
2016-06-17,22900,22900,21900,21950,27300,21628
2016-06-20,23000,23000,21850,22250,22811,21923
2016-06-21,22500,22600,21600,22000,19326,21677
2016-06-22,21650,22100,20850,20900,59535,20593
2016-06-23,20900,21800,20300,21650,28716,21332
2016-06-24,21650,21900,19900,21750,42033,21431
2016-06-27,20300,21700,20300,21150,32997,20839
2016-06-28,20700,21800,20600,21250,9345,20938
2016-06-29,21700,22150,21150,21500,17678,21184
2016-06-30,21650,21900,21150,21800,26638,21480
2016-07-01,21800,22250,21350,22000,19021,21677
2016-07-04,22450,22450,21500,21650,17333,21332
2016-07-05,21650,22200,21300,21550,10834,21234
2016-07-06,21750,21750,20600,21000,30554,20692
2016-07-07,21400,21400,20600,21100,30778,20790
2016-07-08,21200,21200,20500,20700,22641,20396
2016-07-11,20750,21200,20500,20650,29363,20347
2016-07-12,20750,21050,19750,19950,95708,19657
2016-07-13,19950,20100,19500,19900,59817,19608
2016-07-14,20150,20150,19550,19750,30635,19460
2016-07-15,20000,20000,19300,19800,46998,19509
2016-07-18,19500,19950,19500,19600,20031,19312
2016-07-19,19650,19800,18750,19800,58087,19509
2016-07-20,19400,19800,19400,19550,11694,19263
2016-07-21,19550,20200,19550,19650,10617,19361
2016-07-22,19800,20350,19700,19850,34467,19558
2016-07-25,20200,20200,19550,19850,21120,19558
2016-07-26,20000,20050,19550,19850,18223,19558
2016-07-27,20000,20000,19550,19600,22837,19312
2016-07-28,19500,20000,19200,19900,32774,19608
2016-07-29,20150,20150,19650,19900,15003,19608
2016-08-01,19950,20150,19500,19500,19171,19214
2016-08-02,19450,19750,18450,18450,80959,18179
2016-08-03,18450,18650,17550,17750,66137,17489
2016-08-04,17650,17800,16500,17000,183115,16750
2016-08-05,17100,17250,16100,16750,172425,16504
2016-08-08,16800,18000,16500,17650,84030,17391
2016-08-09,17650,18000,17350,17600,33390,17341
