Date,Open,High,Low,Close,Volume,Adj Close
2018-11-28,9900,10100,7650,7700,4724082,7700
2018-11-29,7760,8150,7550,7830,1641049,7830
2018-11-30,7740,7910,7410,7450,650644,7450
2018-12-03,7500,7560,7050,7150,530349,7150
2018-12-04,7160,7210,6740,6970,503264,6970
2018-12-05,7020,8200,7020,7170,3723746,7170
2018-12-06,7090,7150,6550,6560,541223,6560
2018-12-07,6600,6710,6360,6380,312218,6380
2018-12-10,6280,6330,6110,6200,182687,6200
2018-12-11,6330,7890,6270,7200,4428913,7200
2018-12-12,7100,7350,6960,7230,1010777,7230
2018-12-13,7270,7270,6800,7030,584313,7030
2018-12-14,6970,7020,6340,6340,470550,6340
2018-12-17,6390,6630,6280,6530,222609,6530
2018-12-18,6420,6600,6300,6470,156732,6470
2018-12-19,6530,6860,6420,6750,211552,6750
2018-12-20,6550,7130,6550,7000,396573,7000
2018-12-21,7150,8100,7100,7250,2379447,7250
2018-12-24,7170,7390,6800,6800,282959,6800
2018-12-26,6980,7370,6850,6910,426042,6910
