Date,Open,High,Low,Close,Volume,Adj_Close
2015-12-29,11600,14350,11600,13600,9947310,13257
2015-12-30,13550,17450,13300,15600,5374159,15207
2016-01-04,15600,17250,15600,16400,1824250,15987
2016-01-05,16250,17000,15800,16350,673803,15938
2016-01-06,16800,19200,16450,16500,1756269,16084
2016-01-07,17000,18400,16600,18050,1066769,17595
2016-01-08,17450,18050,16850,17400,599153,16962
2016-01-11,17500,18950,17400,18100,513431,17644
2016-01-12,18050,18500,17300,17650,283346,17205
2016-01-13,17900,18050,17300,17400,211201,16962
2016-01-14,17300,18000,16800,17750,327307,17303
2016-01-15,18100,18450,17350,17450,223553,17011
2016-01-18,17050,17450,16800,17200,152974,16767
2016-01-19,17350,17450,16750,17100,155147,16669
2016-01-20,16900,17100,15900,15950,284085,15548
2016-01-21,16100,16100,14750,15000,283629,14622
2016-01-22,15750,15750,14950,15350,151621,14963
2016-01-25,15800,16900,15450,16900,274011,16474
2016-01-26,16550,17400,16450,17000,161275,16572
2016-01-27,17250,19500,17000,18800,684488,18327
2016-01-28,19100,19400,17950,18300,363665,17839
2016-01-29,18450,18450,17500,18000,329980,17547
2016-02-01,18000,18650,17500,17550,266931,17108
2016-02-02,17500,17900,17000,17600,137647,17157
2016-02-03,17600,17800,17150,17750,129594,17303
2016-02-04,17950,18250,16550,17150,228239,16718
2016-02-05,17300,17400,16300,16550,264559,16133
2016-02-11,16550,16550,15700,15850,145538,15451
2016-02-12,15850,16300,14550,15750,289765,15353
2016-02-15,15900,16450,15850,16100,150018,15694
2016-02-16,16150,16800,16100,16800,117815,16377
2016-02-17,16700,16900,16350,16750,70002,16328
2016-02-18,16800,17200,16500,16600,92854,16182
2016-02-19,17100,17100,16300,16400,117183,15987
2016-02-22,16300,16600,16150,16500,95965,16084
2016-02-23,16550,17300,16550,17200,265451,16767
2016-02-24,17250,17750,17000,17500,162750,17059
2016-02-25,17600,17600,17000,17150,94758,16718
2016-02-26,17150,17450,16550,16800,107644,16377
2016-02-29,16800,17200,16550,17050,74293,16621
2016-03-02,17050,17300,16500,16950,115141,16523
2016-03-03,16800,16900,16400,16400,98745,15987
2016-03-04,16300,16700,15950,16600,121091,16182
2016-03-07,16350,16750,16200,16350,44375,15938
2016-03-08,16350,16500,16150,16350,67335,15938
2016-03-09,16150,16450,16100,16300,82304,15889
2016-03-10,16200,16450,16200,16400,37512,15987
2016-03-11,16500,16500,16100,16200,31203,15792
2016-03-14,16200,16250,16000,16150,59487,15743
2016-03-15,16300,16500,16150,16300,55334,15889
2016-03-16,16200,16350,16100,16200,29361,15792
2016-03-17,16550,17500,16550,17300,361888,16864
2016-03-18,17300,17300,16850,16950,97701,16523
2016-03-21,16950,17350,16900,16900,71971,16474
2016-03-22,16900,17250,16850,17100,92547,16669
2016-03-23,17100,17500,16750,17350,141995,16913
2016-03-24,17500,17800,17350,17450,101855,17011
2016-03-25,17600,17950,16900,17100,132788,16669
2016-03-28,17300,17300,16050,16850,172482,16426
2016-03-29,16700,17300,16600,17000,102453,16572
2016-03-30,17000,17250,16800,17150,57753,16718
2016-03-31,17100,17200,16850,16950,52243,16523
2016-04-01,16900,17100,16550,16600,64813,16182
2016-04-04,16550,16800,16500,16550,45167,16133
