Date,Open,High,Low,Close,Volume,Adj_Close
2018-03-23,2517000,2536000,2480000,2486000,297099,0
2018-03-26,2471000,2514000,2452000,2514000,201155,0
2018-03-27,2516000,2523000,2454000,2499000,237480,0
2018-03-28,2455000,2455000,2417000,2435000,303189,0
2018-03-29,2435000,2478000,2416000,2452000,201340,0
2018-03-30,2454000,2495000,2454000,2461000,155542,0
2018-04-02,2450000,2461000,2425000,2427000,142313,0
2018-04-03,2394000,2407000,2364000,2406000,255365,0
2018-04-04,2408000,2413000,2346000,2346000,247684,0
2018-04-05,2370000,2469000,2367000,2437000,264912,0
2018-04-06,2400000,2429000,2370000,2420000,250654,0
2018-04-09,48260,49440,48200,49200,9950400,0
2018-04-10,48540,49220,48040,48880,10984350,0
2018-04-11,49900,49900,48600,48860,10051100,0
2018-04-12,49440,49440,48880,49000,12466250,0
2018-04-13,49600,50180,49400,49800,10278300,0
2018-04-16,50320,50600,49860,50340,7877450,0
2018-04-17,50240,50540,49820,49980,7772000,0
2018-04-18,51000,51360,50580,51360,13462600,0
2018-04-19,52000,52980,51540,52780,17190550,0
2018-04-20,51800,52260,51420,51620,11761000,0
2018-04-23,51000,52080,51000,51900,11619000,0
2018-04-24,51840,51860,50080,50460,15770300,0
2018-04-25,49220,50500,49220,50400,16614600,0
2018-04-26,50420,52160,50400,52140,18046550,0
2018-04-27,53380,53640,52440,53000,30310800,0
2018-04-30,53000,53000,53000,53000,0,0
2018-05-02,53000,53000,53000,53000,0,0
2018-05-03,53000,53000,53000,53000,0,0
2018-05-04,53000,53900,51800,51900,39565391,0
2018-05-08,52600,53200,51900,52600,23104720,0
2018-05-09,52600,52800,50900,50900,16128305,0
2018-05-10,51700,51700,50600,51600,13905263,0
2018-05-11,52000,52200,51200,51300,10314997,0
2018-05-14,51000,51100,49900,50100,14909272,0
2018-05-15,50200,50400,49100,49200,18709146,0
2018-05-16,0,0,0,0,0,0
2018-05-17,50300,50500,49400,49400,10365440,0
2018-05-18,49900,49900,49350,49500,6706570,0
2018-05-21,49650,50200,49100,50000,9020998,0
2018-05-23,50600,52000,50400,51800,17095490,0
2018-05-24,52000,52000,51100,51400,8289275,0
2018-05-25,51000,52800,50800,52700,15207266,0
2018-05-28,52500,53000,52000,52300,9787820,0
2018-05-29,52200,52500,51300,51300,8480437,0
2018-05-30,51300,51500,49100,49500,20498098,0
2018-05-31,50400,50800,49850,50700,63491109,0
2018-06-01,50500,51700,49950,51300,13038499,0
2018-06-04,50800,51200,50700,51100,9767171,0
2018-06-05,51100,51400,50400,51300,9144100,0
2018-06-07,51800,51800,50500,50600,13590016,0
2018-06-08,50200,50400,49600,49650,16951706,0
2018-06-11,49750,50300,49350,49900,10571312,0
2018-06-12,49700,49800,49250,49400,12110569,0
2018-06-14,49000,49000,48200,48200,20971729,0
2018-06-15,48500,48700,47650,47650,17080892,0
2018-06-18,47600,47650,46200,46600,16661870,0
2018-06-19,47200,47350,46500,47000,15217971,0
2018-06-20,47450,47600,46850,47000,12959316,0
2018-06-21,47900,47900,47050,47050,10015541,0
2018-06-22,47000,47250,46200,47250,10298006,0
2018-06-25,47050,47050,46150,46650,10587711,0
2018-06-26,45900,47300,45900,47000,11223166,0
2018-06-27,47450,48500,47000,47950,15274752,0
2018-06-28,46850,47150,46600,46800,12784800,0
2018-06-29,46250,47150,46200,46650,14099635,0
2018-07-02,46500,47150,45500,45550,13112253,0
2018-07-03,45750,46450,45750,46150,10959655,0
2018-07-04,46700,47050,46050,46250,8776763,0
2018-07-05,46100,46550,45600,45950,7039773,0
2018-07-06,45500,45850,44650,44900,17843706,0
2018-07-09,45500,46100,45200,45600,11602464,0
2018-07-10,46200,46550,46100,46300,10528665,0
2018-07-11,46400,46450,45400,46000,11224077,0
2018-07-12,45900,46250,45450,45500,11828104,0
2018-07-13,45800,46500,45750,46500,11543389,0
2018-07-16,46800,46800,46000,46050,7678719,0
2018-07-17,46150,46200,45600,45850,8892953,0
2018-07-18,46700,47200,46450,46550,10952645,0
2018-07-19,47050,47200,46600,46900,9880128,0
2018-07-20,47000,47600,46700,47450,10474547,0
2018-07-23,47100,47200,46150,46500,10823782,0
2018-07-24,46350,46600,45950,46150,8261363,0
2018-07-25,46250,46550,45900,46150,7222471,0
2018-07-26,46100,47000,46000,46900,7374946,0
2018-07-27,46450,47000,46450,46900,4762460,0
2018-07-30,46550,46800,46350,46500,5723035,0
2018-07-31,46200,46450,46000,46250,8033607,0
2018-08-01,46050,46850,46050,46550,7484499,0
2018-08-02,46550,46800,45500,45550,8560924,0
2018-08-03,45850,45900,45450,45750,8274944,0
2018-08-06,46150,46150,45750,45800,6771979,0
2018-08-07,46300,46750,45900,46700,9058174,0
2018-08-08,47000,47000,46550,46800,6429338,0
2018-08-09,47000,47050,46450,46900,12010886,0
2018-08-10,46150,46400,44850,45400,16670643,0
2018-08-13,44950,45100,44650,45050,9803831,0
2018-08-14,44850,45400,44850,45150,6409259,0
2018-08-16,43800,44650,43700,44250,10088229,0
2018-08-17,44050,44400,44050,44100,6808747,0
2018-08-20,43500,44200,43500,43850,7289124,0
2018-08-21,43700,44900,43700,44800,9520270,0
2018-08-22,45150,46200,44900,46100,11641656,0
2018-08-23,46150,46200,45700,46200,6730918,0
2018-08-24,45900,46400,45550,46150,6582535,0
2018-08-27,46100,46550,46000,46300,5263782,0
2018-08-28,46800,46950,46300,46550,7365976,0
2018-08-29,46750,46800,46400,46800,5572374,0
2018-08-30,46950,47950,46700,47650,12193231,0
2018-08-31,47100,48450,47000,48450,13577454,0
2018-09-03,48200,48300,47300,47450,8595084,0
2018-09-04,47550,47800,47200,47650,6791255,0
2018-09-05,47300,47450,46400,46600,9139998,0
2018-09-06,46200,46400,45800,46100,9040553,0
2018-09-07,44500,45200,44400,44900,18285508,0
2018-09-10,45450,45550,45000,45500,9979838,0
2018-09-11,45550,45900,45050,45050,9865790,0
2018-09-12,44900,45100,44500,44550,12995269,0
2018-09-13,44550,44750,44000,44050,18277942,0
2018-09-14,45000,45850,44900,45850,12446344,0
2018-09-17,45550,45800,44900,45150,8123384,0
2018-09-18,44950,45900,44700,45500,9987090,0
2018-09-19,46000,46200,45700,46150,9367454,0
2018-09-20,46850,47600,46400,47250,13536966,0
2018-09-21,46550,47550,46550,47400,14476906,0
2018-09-27,0,0,0,0,0,0
2018-09-28,47250,47250,46300,46450,11270515,0
2018-10-01,46450,46800,45800,46350,6354983,0
2018-10-02,46450,46700,45700,45700,6607188,0
2018-10-04,45150,45600,44700,44700,11865327,0
2018-10-05,44800,45500,44550,44700,10544165,0
2018-10-08,44200,45200,44200,44950,6759464,0
2018-10-10,45250,45500,44500,45300,10341349,0
2018-10-11,44000,44650,43100,43100,19324537,0
2018-10-12,43200,44650,43200,44000,12640906,0
2018-10-15,44050,44050,43350,43800,7434522,0
2018-10-16,43700,44150,43350,43600,6825677,0
2018-10-17,44150,44500,44000,44150,8306193,0
2018-10-18,43950,44450,43700,44050,8347725,0
2018-10-19,43900,44150,43450,43900,7842520,0
2018-10-22,43450,43950,43200,43550,8357648,0
2018-10-23,43300,43450,42550,43050,9531231,0
2018-10-24,43050,43100,42250,42550,13522825,0
2018-10-25,40600,41550,40550,41000,19338170,0
2018-10-26,41100,41300,40400,41000,14413864,0
2018-10-29,40850,41950,40550,41400,14460521,0
2018-10-30,41400,43000,41000,42350,14205190,0
2018-10-31,42900,43350,41700,42400,17621480,0
2018-11-01,42450,42950,42150,42150,13423132,0
2018-11-02,43050,44250,42800,44150,16517112,0
2018-11-05,43750,43800,42900,43800,9426777,0
2018-11-06,43750,43800,42950,43750,7713625,0
2018-11-07,43600,44500,43400,44000,11553998,0
2018-11-08,44900,45050,44050,44050,12617397,0
2018-11-09,44450,44850,43900,44300,7318500,0
2018-11-12,43850,45250,43700,45200,8552566,0
2018-11-13,43900,44500,43400,44500,9311126,0
2018-11-14,44500,44500,43800,44100,6783344,0
2018-11-15,44050,44350,43500,44250,5864067,0
2018-11-16,44600,44750,43700,44000,7777124,0
2018-11-19,44050,44250,43450,43650,7538720,0
2018-11-20,42450,43000,42100,42800,9420664,0
2018-11-21,41800,42300,41800,42100,10769589,0
2018-11-22,42000,42650,42000,42450,5970796,0
2018-11-23,42450,42600,41900,42400,5192638,0
2018-11-26,42150,42800,42100,42600,6613009,0
2018-11-27,42900,43100,42500,43050,8367091,0
2018-11-28,42800,43200,42750,43150,6943099,0
2018-11-29,43850,43850,42900,43150,8473511,0
2018-11-30,43450,44000,41750,41850,19775519,0
2018-12-03,42750,43400,42400,43250,12110702,0
2018-12-04,42650,42900,41900,42150,14347746,0
2018-12-05,40900,41750,40850,41450,12631983,0
2018-12-06,40600,41100,40450,40500,14251826,0
2018-12-07,40900,41400,40850,40950,11433083,0
2018-12-10,40450,40650,40000,40200,14892263,0
2018-12-11,40600,40700,40200,40250,10638766,0
2018-12-12,40250,40700,40150,40450,12024279,0
2018-12-13,40650,40750,40000,40000,26254646,0
2018-12-14,40200,40200,38700,38950,19671783,0
2018-12-17,38650,39600,38650,39150,11532968,0
2018-12-18,38300,39200,38300,38900,11042101,0
2018-12-19,38900,39350,38850,39100,9942037,0
2018-12-20,38600,39100,38500,38650,11937617,0
2018-12-21,38200,38650,38100,38650,14947080,38293
2018-12-24,38500,39050,38300,38800,9729530,38441
2018-12-26,38400,38750,38300,38350,12707675,37996
2018-12-27,38700,38800,38100,38250,10510643,38250
2018-12-28,38250,38900,38200,38700,9900267,38700
2019-01-02,39400,39400,38550,38750,7847664,38750
2019-01-03,38300,38550,37450,37600,12471493,37600
2019-01-04,37450,37600,36850,37450,14108958,37450
2019-01-07,38000,38900,37800,38750,12748997,38750
2019-01-08,38000,39200,37950,38100,12756554,38100
2019-01-09,38650,39600,38300,39600,17452708,39600
2019-01-10,40000,40150,39600,39800,14731699,39800
2019-01-11,40350,40550,39950,40500,11661063,40500
2019-01-14,40450,40700,39850,40050,11984996,40050
2019-01-15,40050,41100,39850,41100,11492756,41100
2019-01-16,41150,41450,40700,41450,8491595,41450
2019-01-17,41700,42100,41450,41950,11736903,41950
2019-01-18,42000,42400,41950,42300,11029256,42300
2019-01-21,42700,42750,41900,42750,11355701,42750
2019-01-22,42750,42850,41850,42150,9964356,42150
2019-01-23,41350,42250,41350,42000,11071079,42000
2019-01-24,43050,43100,42350,43050,14747623,43050
2019-01-25,44300,44750,43750,44750,22789395,44750
2019-01-28,45000,45500,44600,45050,17998914,45050
2019-01-29,45050,45500,44350,45500,16215017,45500
2019-01-30,44800,46400,44800,46400,17505980,46400
2019-01-31,46650,47050,46150,46150,21621145,46150
2019-02-01,46650,46950,46250,46350,13832454,46350
2019-02-07,46800,47100,46200,46200,15871771,0
2019-02-08,45700,45700,44650,44800,12490834,0
2019-02-11,44500,45000,44250,45000,11125044,0
2019-02-12,44650,46250,44650,46050,13184367,0
2019-02-13,46400,46700,46000,46200,11298406,0
2019-02-14,46600,47500,46150,47500,17259332,0
2019-02-15,46750,46850,45650,46050,10554643,0
2019-02-18,46500,46850,45850,46200,8183728,0
2019-02-19,45850,46150,45450,45950,6741395,0
2019-02-20,46750,47100,46500,46900,11506720,0
2019-02-21,46500,47200,46200,46950,8694005,0
2019-02-22,46500,47150,46450,47150,6895772,0
2019-02-25,47400,47550,47050,47350,7478455,0
2019-02-26,47350,47450,46500,46750,7985547,0
2019-02-27,47000,47250,46750,46750,8045211,0
2019-02-28,46400,46500,45100,45100,23568179,0
2019-03-04,46000,46100,44800,44850,12926539,0
2019-03-05,44600,45100,44150,44250,10612405,0
2019-03-06,44000,44300,43700,44000,10202367,0
2019-03-07,43400,44950,43400,44450,11049749,0
2019-03-08,44450,44800,43800,43800,7728979,0
2019-03-11,44400,44450,43650,43650,10717408,0
2019-03-12,44300,44950,44150,44650,11431892,0
2019-03-13,44250,44450,43700,43850,8105945,0
2019-03-14,43700,44300,43550,43850,18039153,0
2019-03-15,43800,44250,43700,44200,14603384,0
2019-03-18,43950,44150,43450,43700,8188876,0
2019-03-19,43750,43900,43550,43900,7594075,0
2019-03-20,43800,44200,43100,44050,9845778,0
2019-03-21,44600,46250,44050,45850,21001940,0
2019-03-22,46850,47000,46250,46550,12535809,0
2019-03-25,45300,45650,44800,45500,8699728,0
2019-03-26,45500,45700,44900,45250,9729811,0
2019-03-27,44750,45600,44250,45350,9560077,0
2019-03-28,44950,45200,44300,44850,6821303,0
2019-03-29,44500,44900,44200,44650,11491700,44650
2019-04-02,45550,46100,45350,45750,9480681,45750
2019-04-03,46750,46750,45800,46600,11993703,46600
2019-04-04,46150,47100,46150,46950,11446836,46950
2019-04-05,46950,47550,46600,46850,8541540,46850
2019-04-08,47250,47250,46150,46650,8497142,46650
2019-04-09,46700,46950,46200,46650,6872776,46650
2019-04-10,46400,46700,46050,46700,10359588,46700
2019-04-11,46700,46800,46150,46250,13602273,46250
2019-04-12,46050,46900,46000,46850,7633780,46850
2019-04-15,47150,47500,47000,47050,8706859,47050
2019-04-16,47400,47400,46800,47250,7613433,47250
2019-04-17,47300,47600,47000,47050,5467137,47050
2019-04-18,47200,47250,45500,45600,10712825,45600
2019-04-19,45750,46000,45250,45300,8341747,45300
2019-04-22,45400,45900,45100,45350,5889791,45350
2019-04-23,45050,45500,45000,45200,6872681,45200
2019-04-24,45400,45650,44150,44750,12165022,44750
2019-04-25,44250,45000,44100,44650,9515214,44650
2019-04-26,44200,45000,43800,44850,9358671,44850
2019-04-29,45150,46150,45100,46150,8476500,46150
2019-04-30,46000,46300,45350,45850,10140985,45850
2019-05-02,45500,46150,45400,45900,8625126,45900
2019-05-03,45900,46050,45300,45300,6504659,45300
2019-05-07,45250,45300,44400,44850,11937850,44850
2019-05-08,44300,44850,44200,44250,10027536,44250
2019-05-09,43900,44250,42450,42450,22022796,42450
2019-05-10,42600,43450,42450,42900,13492938,42900
2019-05-13,42500,43200,42350,42650,7603405,42650
2019-05-14,41300,43100,41300,42650,11539496,42650
2019-05-15,42700,43050,42550,42550,7670185,42550
2019-05-16,0,0,0,0,0,0
2019-05-17,41950,42050,40850,41200,13357951,41200
2019-05-20,41650,42100,41550,42000,15752397,42000
2019-05-21,42600,43950,42350,43150,18812133,43150
2019-05-22,43700,43800,42400,43500,11033339,43500
2019-05-23,43900,44000,43250,43850,12259006,43850
2019-05-24,43800,43800,42400,42700,13966305,42700
2019-05-27,42500,43000,42350,42650,8066669,42650
2019-05-28,42550,42950,42150,42550,24506881,42550
2019-05-29,41850,42100,41300,41800,14930618,41800
2019-05-30,42200,42700,42150,42550,11766018,42550
2019-05-31,42600,42800,42150,42500,11365999,42500
2019-06-03,42950,43900,42500,43800,15466580,43800
2019-06-04,43400,43700,43000,43450,9913497,43450
2019-06-05,44050,44200,43700,43900,12464135,43900
2019-06-07,43600,44350,43450,44200,11683682,44200
2019-06-10,44300,44850,44050,44800,8792182,44800
2019-06-11,44800,45000,44550,44850,6664872,44850
2019-06-12,44800,45050,44300,44600,8607439,44600
2019-06-13,44200,44400,43400,43750,16906541,43750
2019-06-14,43750,44150,43300,44000,9322873,44000
2019-06-17,43750,44050,43400,43900,11890424,43900
2019-06-18,43750,44500,43650,44350,7994928,44350
2019-06-19,45450,45450,45000,45350,10417690,45350
2019-06-20,44850,45500,44850,45500,7147785,45500
2019-06-21,45750,45800,45200,45700,9454913,45700
2019-06-24,45200,45800,45200,45500,6085066,45500
2019-06-25,45200,45800,45200,45600,7076774,45600
2019-06-26,45800,46000,45600,45700,9226097,45700
2019-06-27,46000,46600,45750,46500,12603534,46500
2019-06-28,47000,47000,46700,47000,12949231,47000
2019-07-01,47350,47400,46250,46600,11383522,46600
2019-07-02,46200,46900,45850,46250,8463073,46250
2019-07-03,45750,46350,45200,45400,9669368,45400
2019-07-04,45250,46200,45250,46000,6365573,46000
2019-07-05,45950,45950,45250,45650,7235395,45650
2019-07-08,44750,44800,44350,44400,7823843,44400
2019-07-09,44850,45450,44700,45100,7646421,45100
2019-07-10,45550,46150,45500,45550,9253930,45550
2019-07-11,46350,46550,46150,46200,10989751,46200
2019-07-12,46350,46400,45800,46300,5245804,46300
2019-07-15,45950,46650,45750,46450,4717226,46450
2019-07-16,46450,46850,46300,46850,7407824,46850
2019-07-17,46150,46350,45950,46050,5216602,46050
2019-07-18,46450,46450,45650,46100,5143554,46100
2019-07-19,46650,46950,46600,46800,8819393,46800
2019-07-22,46800,47300,46600,47200,9009109,47200
2019-07-23,47350,47550,47050,47300,9061381,47300
2019-07-24,47100,47150,46250,46400,8756522,46400
2019-07-25,47150,47200,46600,47200,8408838,47200
2019-07-26,46650,47150,46550,47150,7873886,47150
2019-07-29,46800,47050,46000,46100,6856846,46100
2019-07-30,46300,46850,46300,46550,5551014,46550
2019-07-31,46200,46600,45000,45350,12872916,45350
2019-08-01,44900,45500,44850,45200,7811181,45200
2019-08-02,44550,45500,44300,44950,11811626,44950
2019-08-05,44350,44600,43600,43950,14214086,43950
2019-08-06,42500,43800,42500,43500,15083824,43500
2019-08-07,43600,43900,43100,43200,10002533,43200
2019-08-08,43250,43500,42650,42650,16926881,42650
2019-08-09,43250,43350,43050,43150,9685147,43150
2019-08-12,44000,44000,43550,43700,8466169,43700
2019-08-13,43500,43500,42950,43000,7276979,43000
2019-08-14,43900,44250,43500,43700,8750135,43700
2019-08-16,43800,43900,43300,43900,9528115,43900
2019-08-19,44350,44350,43500,43600,6014218,43600
2019-08-20,43950,44600,43550,44450,8434205,44450
2019-08-21,44350,44800,44150,44500,6571717,44500
2019-08-22,44500,44700,43850,44050,8061177,44050
2019-08-23,43800,44200,43650,43950,5017381,43950
2019-08-26,43050,43800,42950,43600,7954949,43600
2019-08-27,43650,44200,43600,44050,16883932,44050
2019-08-28,44100,44400,43750,44150,5758333,44150
2019-08-29,44200,44200,43050,43400,10768862,43400
2019-08-30,43750,44300,43750,44000,9899073,44000
2019-09-02,44850,44850,43650,43800,7185537,43800
2019-09-03,43550,43650,43100,43250,8515096,43250
2019-09-04,43250,44100,43150,44100,12441837,44100
2019-09-05,44800,46100,44450,45700,18297430,45700
2019-09-06,46500,46500,45850,46300,9896562,46300
2019-09-09,46450,47000,46300,46900,9434157,46900
2019-09-10,47100,47200,46550,47000,9159183,47000
2019-09-11,47300,47400,46800,47150,16141619,47150
2019-09-16,47000,47100,46400,47100,15550926,47100
2019-09-17,47000,47100,46800,46900,7006280,46900
2019-09-18,46900,47700,46800,47700,10413027,47700
2019-09-19,48050,49200,47850,49150,16461413,49150
2019-09-20,49400,49600,49100,49200,15460210,49200
2019-09-23,49250,49300,49000,49300,7568553,49300
2019-09-24,49050,49650,48850,49500,7871955,49500
2019-09-25,49200,49350,48800,48900,9187141,48900
2019-09-26,49000,49250,48900,49200,8494756,49200
2019-09-27,48000,48700,48000,48400,8048041,48400
2019-09-30,48050,49250,47900,49050,9497119,49050
2019-10-01,48900,49100,48650,48850,6206035,48850
2019-10-02,48350,48400,47600,47600,8382463,47600
2019-10-04,47400,48650,47350,48000,8446094,48000
2019-10-07,48350,48700,47650,47750,7047273,47750
2019-10-08,47900,49000,47600,48900,14239367,48900
2019-10-10,48200,49200,48000,48550,18639855,48550
2019-10-11,49000,49450,48800,49150,7783275,49150
2019-10-14,50000,50300,49850,50000,11130635,50000
2019-10-15,49900,50200,49900,50100,6058105,50100
2019-10-16,50700,50900,50400,50700,9136282,50700
2019-10-17,50500,50600,50100,50500,6701380,50500
2019-10-18,50300,50900,49650,49900,8483106,49900
2019-10-21,49900,50400,49800,50300,4406531,50300
2019-10-22,50800,51500,50700,51200,10898729,51200
2019-10-23,51300,51500,50800,51200,8663880,51200
2019-10-24,52500,52500,50500,50700,21185785,50700
2019-10-25,50800,51200,50500,50900,7879897,50900
2019-10-28,50700,51500,50700,51300,6431522,51300
2019-10-29,51400,51700,50800,51100,7581629,51100
2019-10-30,50700,50800,50200,50400,8959435,50400
2019-10-31,51000,51400,50300,50400,10304777,50400
2019-11-01,50600,51200,50400,51200,8467846,51200
2019-11-04,51700,52300,51400,52300,13012411,52300
2019-11-05,52400,52700,52100,52700,10581034,52700
2019-11-06,52900,53500,52700,53300,14361133,53300
2019-11-07,53400,53400,52400,52900,9257116,52900
2019-11-08,53200,53300,52000,52100,11603290,52100
2019-11-11,52200,52200,51400,51600,8168554,51600
2019-11-12,51800,52600,51600,52600,6576148,52600
2019-11-13,52500,52500,52000,52500,6225196,52500
2019-11-14,51900,52800,51900,52800,12010018,52800
2019-11-15,52900,53700,52600,53700,9679875,53700
2019-11-18,53600,53800,53200,53500,7746554,53500
2019-11-19,53200,53500,52700,53500,8907177,53500
2019-11-20,53400,53400,52000,52000,12560070,52000
2019-11-21,51600,52100,50600,51000,14298646,51000
2019-11-22,51000,51600,50900,51600,8478310,51600
2019-11-25,52200,52600,51700,51800,9050625,51800
2019-11-26,51900,52900,51800,51800,27372226,51800
2019-11-27,51800,52300,51600,52200,7546261,52200
2019-11-28,51900,52100,51300,51300,6833885,51300
2019-11-29,51200,51400,50200,50300,11179334,50300
2019-12-02,50900,51300,50400,50400,18877252,50400
2019-12-03,49800,50300,49500,49900,12059812,49900
2019-12-04,49600,49850,49000,49450,13246549,49450
2019-12-05,50200,50400,49500,49500,10449715,49500
2019-12-06,50100,50900,49950,50400,11414563,50400
2019-12-09,50900,51400,50700,51200,8470627,51200
2019-12-10,51000,51600,50700,51500,6882771,51500
2019-12-11,51500,52200,51400,51900,11379521,51900
2019-12-12,53000,53300,52700,53300,29178697,53300
2019-12-13,54500,54800,53900,54700,18120261,54700
2019-12-16,54500,54900,54300,54700,11512405,54700
2019-12-17,55800,56700,55400,56700,19358433,56700
2019-12-18,56700,57200,56000,56300,15558208,56300
2019-12-19,57000,57300,55500,56000,14180520,56000
2019-12-20,56100,56500,55600,56000,12095519,56000
2019-12-23,56100,56400,55100,55500,9839252,55500
2019-12-24,55600,55700,54800,55000,11868463,55000
2019-12-26,54700,55400,54400,55400,9645034,55400
2019-12-27,55700,56900,55500,56500,12313056,56500
2019-12-30,56200,56600,55700,55800,8356767,55800
2020-01-02,55500,56000,55000,55200,12993228,55200
2020-01-03,56000,56600,54900,55500,15422255,55500
2020-01-06,54900,55600,54600,55500,10278951,55500
2020-01-07,55700,56400,55600,55800,10009778,55800
2020-01-08,56200,57400,55900,56800,23501171,56800
2020-01-09,58400,58600,57400,58600,24102579,58600
2020-01-10,58800,59700,58300,59500,16000170,59500
2020-01-13,59600,60000,59100,60000,11359139,60000
2020-01-14,60400,61000,59900,60000,16906295,60000
2020-01-15,59500,59600,58900,59000,14300928,59000
2020-01-16,59100,60700,59000,60700,14381774,60700
2020-01-17,61900,62000,61000,61300,16025661,61300
2020-01-20,62000,62800,61700,62400,12528855,62400
2020-01-21,62000,62400,61200,61400,11142693,61400
2020-01-22,60500,62600,60400,62300,15339565,62300
2020-01-23,61800,61800,60700,60800,14916555,60800
2020-01-28,59400,59400,58300,58800,23664541,58800
2020-01-29,59100,59700,58800,59100,16446102,59100
2020-01-30,58800,58800,56800,57200,20821939,57200
2020-01-31,57800,58400,56400,56400,19749457,56400
2020-02-03,55500,57400,55200,57200,23995260,57200
2020-02-04,57100,59000,56800,58900,21800192,58900
2020-02-05,60000,60200,58900,59500,19278165,59500
2020-02-06,60100,61100,59700,61100,14727159,61100
2020-02-07,61100,61200,59700,60400,16402493,60400
2020-02-10,59200,59800,59100,59700,13107121,59700
2020-02-11,59800,60700,59700,59900,11071231,59900
2020-02-12,60300,60700,59700,60500,12904207,60500
2020-02-13,61200,61600,60500,60700,18449775,60700
2020-02-14,60900,61900,60200,61800,13276067,61800
2020-02-17,61600,62000,61200,61500,8740596,61500
2020-02-18,60800,60900,59700,59800,16674266,59800
2020-02-19,59800,60400,59400,60200,12951496,60200
2020-02-20,60700,61300,59600,60000,14591924,60000
2020-02-21,58800,59800,58500,59200,13777393,59200
2020-02-24,57400,58100,56800,56800,25627537,56800
2020-02-25,56200,58000,56200,57900,23885408,57900
2020-02-26,56000,57000,56000,56500,25483102,56500
2020-02-27,56300,56900,55500,55900,23209541,55900
2020-02-28,55000,55500,54200,54200,30054227,54200
2020-03-02,54300,55500,53600,55000,30403412,55000
2020-03-03,56700,56900,55100,55400,30330295,55400
2020-03-04,54800,57600,54600,57400,24765728,57400
2020-03-05,57600,58000,56700,57800,21698990,57800
2020-03-06,56500,57200,56200,56500,18716656,56500
2020-03-09,56500,56500,56500,56500,0,56500
2020-03-10,53800,54900,53700,54600,32106554,54600
2020-03-11,54300,54400,52000,52100,45707281,52100
